episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,4,31744,1024,31744,False,0,31,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-08,1648132388,4.783346891403198,87.53227162361145,58096,AORUS,192.168.1.21,87.53227162361145,31744,31,[],[],2828.089,362.082,0.784,1305778.699,595.462,1719.673,1.346,31744,31744,31744,1024,31744,5.971428571428571,22.800000000000004,0.4500000000000001,0.0003,121.15993171930313,-0.014538655101205222,121.17205694317818,0.877467337064445,0.009340918230009347,1.7921403152868152,0.0010000000000000005
nan,nan,nan,nan,0,4,32768,1024,32768,False,0,32,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-10,1648132390,2.6194965839385986,90.15176820755005,58096,AORUS,192.168.1.21,90.15176820755005,32768,32,[],[],2834.657,361.243,0.717,1429035.866,590.924,1732.879,1.356,32768,32768,32768,1024,32768,5.949999999999999,22.8,0.4500000000000001,0.0003,82.90759506821632,-0.01660222403006628,82.92169734835625,0.9214366935193539,0.00954366567384568,1.794552099891007,0.0010000000000000005
nan,nan,nan,nan,0,4,33792,1024,33792,False,0,33,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-13,1648132393,2.5526747703552246,92.70444297790527,58096,AORUS,192.168.1.21,92.70444297790527,33792,33,[],[],2829.925,361.847,0.645,1586615.181,588.678,1739.491,1.353,33792,33792,33792,1024,33792,5.8,22.8,0.4500000000000001,0.0003,73.90700352191925,-0.013257952785352245,73.91642633080482,0.9230569070205092,0.012332764817983843,1.7149813761934638,0.0010000000000000005
nan,nan,nan,nan,0,4,34816,1024,34816,False,0,34,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-16,1648132396,2.5742154121398926,95.27865839004517,58096,AORUS,192.168.1.21,95.27865839004517,34816,34,[],[],2827.64,362.139,0.673,1521419.517,579.189,1767.99,1.331,34816,34816,34816,1024,34816,6.0,22.8,0.4500000000000001,0.0003,76.5869128704071,-0.012112094016629271,76.59507930278778,0.9154892601072788,0.012636796367587522,1.7407570891082287,0.0010000000000000005
nan,nan,nan,nan,0,4,35840,1024,35840,False,0,35,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-18,1648132398,2.5999197959899902,97.87857818603516,58096,AORUS,192.168.1.21,97.87857818603516,35840,35,[],[],2817.868,363.395,0.684,1496087.257,585.769,1748.131,1.29,35840,35840,35840,1024,35840,5.775,22.8,0.4500000000000001,0.0003,160.53083285689354,-0.022431902849348262,160.54919505119324,0.8508585109375417,0.012989926239242777,1.7782217478379607,0.0010000000000000005
nan,nan,nan,nan,0,4,36864,1024,36864,False,0,36,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-21,1648132401,2.5960893630981445,100.4746675491333,58096,AORUS,192.168.1.21,100.4746675491333,36864,36,[],[],2824.573,362.533,0.662,1547512.898,591.647,1730.761,1.256,36864,36864,36864,1024,36864,6.2,22.8,0.4500000000000001,0.0003,65.26928561925888,-0.01596041669836268,65.27995792031288,0.9426919352263212,0.015502857280807802,1.6881413934752345,0.0010000000000000005
nan,nan,nan,nan,0,4,37888,1024,37888,False,0,37,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-23,1648132403,2.5740904808044434,103.04875802993774,58096,AORUS,192.168.1.21,103.04875802993774,37888,37,[],[],2829.421,361.912,0.658,1557276.032,583.847,1753.883,1.264,37888,37888,37888,1024,37888,6.449999999999999,22.8,0.4500000000000001,0.0003,87.39713087677956,-0.00915454953792505,87.40277406573296,0.9121986962854862,0.011498905692860717,1.6633721478283405,0.0010000000000000005
nan,nan,nan,nan,0,4,38912,1024,38912,False,0,38,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-26,1648132406,2.559426784515381,105.60818481445312,58096,AORUS,192.168.1.21,105.60818481445312,38912,38,[],[],2821.449,362.934,0.661,1550193.928,575.114,1780.517,1.225,38912,38912,38912,1024,38912,6.175000000000001,22.8,0.4500000000000001,0.0003,72.96017390489578,-0.008207917562685907,72.96536493301392,0.9224806386046112,0.010510859970963793,1.712858907878399,0.0010000000000000005
nan,nan,nan,nan,0,4,39936,1024,39936,False,0,39,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-29,1648132409,2.5808191299438477,108.18900394439697,58096,AORUS,192.168.1.21,108.18900394439697,39936,39,[],[],2812.601,364.076,0.668,1532275.168,576.82,1775.252,1.22,39936,39936,39936,1024,39936,6.066666666666666,22.8,0.4500000000000001,0.0003,81.68953737616539,-0.005711034260457382,81.69324630498886,0.9228875879198313,0.008236541576934637,1.7052901685237885,0.0010000000000000005
nan,nan,nan,nan,0,4,40960,1024,40960,False,0,40,1bc91_00000,c31372bf29e54789ae5c5d697c2afa5a,2022-03-24_15-33-31,1648132411,2.5731041431427,110.76210808753967,58096,AORUS,192.168.1.21,110.76210808753967,40960,40,[],[],2813.552,363.953,0.677,1513111.607,576.272,1776.938,1.176,40960,40960,40960,1024,40960,5.75,22.8,0.4500000000000001,0.0003,75.0805351138115,-0.005463988869450986,75.0836763381958,0.9225988760590553,0.00885385431047334,1.6618491988629103,0.0010000000000000005
